% Model:              B0-sweep_MappedMesh.mph
% Version:            COMSOL 6.4.0.293
% Date:               May 2 2026, 14:12
% Dimension:          2
% Nodes:              1421
% Expressions:        3
% Description:        Current density, r-component, Velocity field, phi-component, z-coordinate
% Length unit:        mm
% r                       z                        ec.Jr (A/m^2)            v (m/s)                  z (mm)
0.10667296573498117       0.5                      19.65276231953203        -3.998181242609834E-5    0.5
0.1067168387012104        0.5                      19.644199122583473       -4.0218213343454326E-5   0.5
0.10676071166743957       0.5                      19.635636098672194       -4.045461426081023E-5    0.5
0.10680480460173049       0.5                      19.627031790813362       -4.06915425256118E-5     0.5
0.1068488975360214        0.5                      19.618427590410306       -4.0928470790413556E-5   0.5
0.10689321154123872       0.5                      19.609781753356174       -4.116592370280062E-5    0.5
0.10693752554645608       0.5                      19.601136083883546       -4.140337661518771E-5    0.5
0.10698206173099409       0.5                      19.592448417361993       -4.1641351423977975E-5   0.5
0.10702659791553207       0.5                      19.58376093615061        -4.187932623276821E-5    0.5
0.1070713573933422        0.5                      19.57503115366262        -4.2117820135015866E-5   0.5
0.10711611687115231       0.5                      19.56630148451626        -4.235631403726361E-5    0.5
0.10716110076177113       0.5                      19.557529209101972       -4.2595324177816537E-5   0.5
0.10720608465238995       0.5                      19.54875704570111        -4.283433431836949E-5    0.5
0.10725129408096698       0.5                      19.539941917101373       -4.307385778942307E-5    0.5
0.10729650350954405       0.5                      19.53112691989054        -4.331338126047671E-5    0.5
0.10734193960687016       0.5                      19.522268580142054       -4.3553415101129245E-5   0.5
0.10738737570419629       0.5                      19.513410373680756       -4.379344894178178E-5    0.5
0.10743303960673181       0.5                      19.504508507319656       -4.403399013758526E-5    0.5
0.10747870350926736       0.5                      19.49560676276809        -4.427453133338886E-5    0.5
0.10752459635917055       0.5                      19.486660973196194       -4.4515576815900155E-5   0.49999999999999994
0.10757048920907372       0.5                      19.477715314635248       -4.475662229841142E-5    0.5
