% Model:              Height_Sweep_HighdefMappedMesh.mph
% Version:            COMSOL 6.4.0.293
% Date:               May 2 2026, 22:47
% Dimension:          2
% Nodes:              28470
% Expressions:        3
% Description:        Current density, r-component, Velocity field, phi-component, 
% Length unit:        mm
% r                       z                        height                   ec.Jr (A/m^2)            v (m/s)                  height (mm)
0.12521915089635258       0.25                     5.0E-4                   32.28748101547717        -1.1530804217952051E-4   0.5
0.12545228028511438       0.25                     5.0E-4                   32.17597914016801        -1.1595321910539724E-4   0.5
0.12568540967387615       0.25                     5.0E-4                   32.06447510740895        -1.1659839603127393E-4   0.5
0.12591957498629686       0.25                     5.0E-4                   31.951955260873774       -1.1723385637476275E-4   0.5
0.12615374029871756       0.25                     5.0E-4                   31.839433210900552       -1.178693167182516E-4    0.5
0.12638894613798266       0.25                     5.0E-4                   31.725895259450226       -1.1849504195209426E-4   0.5
0.12662415197724775       0.25                     5.0E-4                   31.61235506143123        -1.1912076718593694E-4   0.5
0.12686040296699722       0.25                     5.0E-4                   31.497799760877797       -1.197367399763748E-4    0.5
0.1270966539567467        0.25                     5.0E-4                   31.38324217181639        -1.2035271276681272E-4   0.5
0.1273339547411661        0.25                     5.0E-4                   31.267671192611488       -1.2095891700293585E-4   0.5
0.12757125552558546       0.25                     5.0E-4                   31.15209787829349        -1.2156512123905903E-4   0.5
0.12780961076949687       0.25                     5.0E-4                   31.035513802125024       -1.2216154206197704E-4   0.5
0.1280479660134083        0.25                     5.0E-4                   30.918927349740784       -1.22757962884895E-4     0.5
0.12828738040236226       0.25                     5.0E-4                   30.801333688041268       -1.2334458671670013E-4   0.5
0.12852679479131623       0.25                     5.0E-4                   30.6837376096031         -1.2393121054850526E-4   0.5
0.12876727303168384       0.25                     5.0E-4                   30.5651387983296         -1.245080251209966E-4    0.5
0.12900775127205144       0.25                     5.0E-4                   30.446537533387186       -1.2508483969348794E-4   0.5
0.12924929809111674       0.25                     5.0E-4                   30.32693896962337        -1.2565183407662456E-4   0.5
0.12949084491018203       0.25                     5.0E-4                   30.20733790772192        -1.2621882845976129E-4   0.5
0.1297334650562351        0.25                     5.0E-4                   30.08674591817112        -1.2677599308981308E-4   0.5
0.12997608520228818       0.25                     5.0E-4                   29.966151394951225       -1.2733315771986498E-4   0.5
0.13021978344471832       0.25                     5.0E-4                   29.844573277895734       -1.2788048442722742E-4   0.5
0.13046348168714844       0.25                     5.0E-4                   29.722992583000973       -1.284278111345898E-4    0.5
0.13070826281653805       0.25                     5.0E-4                   29.600436588226557       -1.2896529317123036E-4   0.5
0.13095304394592766       0.25                     5.0E-4                   29.477877980110293       -1.295027752078709E-4    0.5
0.13119891277414636       0.25                     5.0E-4                   29.354353330283857       -1.3003040727437346E-4   0.5
0.13144478160236506       0.25                     5.0E-4                   29.230826024577823       -1.3055803934087595E-4   0.5
0.13169174296266423       0.25                     5.0E-4                   29.106342907540693       -1.3107581761304807E-4   0.5
0.1319387043229634        0.25                     5.0E-4                   28.98185709963502        -1.3159359588522023E-4   0.5
0.13218676307007132       0.25                     5.0E-4                   28.856426678810294       -1.3210151804023037E-4   0.5
0.13243482181717928       0.25                     5.0E-4                   28.73099353365103        -1.3260944019524061E-4   0.5
0.13268398282739652       0.25                     5.0E-4                   28.60462794891714        -1.331075054372488E-4    0.5
0.13293314383761376       0.25                     5.0E-4                   28.47825960749458        -1.336055706792569E-4    0.5
0.13318341200890887       0.25                     5.0E-4                   28.350971978375355       -1.3409377976450444E-4   0.5
0.13343368018020396       0.25                     5.0E-4                   28.223681558794397       -1.345819888497519E-4    0.5
0.13368506043231004       0.25                     5.0E-4                   28.095485979058594       -1.350603441110753E-4    0.5
0.13393644068441612       0.25                     5.0E-4                   27.96728757838332        -1.3553869937239874E-4   0.5
